fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211023 232647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	0.062278566761408	0.423446070845309	5296	627	0.0446380674579226	20	6543750
20211023 232728	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	483	TRUE	0.0291698684212565	0.990747633903171	6196	506	0.0431460806008181	21	6916250
20211023 232752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	198	TRUE	0.0845429159516469	0.265302602361399	2184	862	0.0470688325621941	22	6581250
20211023 232823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	265	TRUE	0.0722323446390033	0.951347630601563	2650	667	0.0355855629316704	23	6243750
20211023 232859	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	368	TRUE	0.0476338022232428	0.572736529607885	6004	663	0.0436741433648495	24	6787500
20211023 232923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.0760783426029651	0.891005349477908	2448	516	0.0355520351371287	25	6548750
20211023 232945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	172	TRUE	0.0404357426695946	0.481029262311467	4587	513	0.040363273653859	26	6481250
20211023 233009	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	246	TRUE	0.0551776551933028	0.327766494586272	6499	587	0.0383516059813585	27	6881250
20211023 233047	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	410	TRUE	0.0798047164328769	0.393344031555881	5062	686	0.0413774894387447	28	6580000
20211023 233143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	336	TRUE	0.0386352451506071	0.404612072499818	875	661	0.041142794876953	29	7065000
20211023 233235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	696	TRUE	0.0433675417006388	0.112609258927475	2956	217	0.0368009454838061	30	6912500
20211023 233323	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	208	TRUE	0.0697419938869402	0.427681592786498	466	679	0.0405309126265674	31	6806250
20211023 233357	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	336	TRUE	0.0556473292419501	0.554259937580652	5574	930	0.0412349963119426	32	6651250
20211023 233440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	464	TRUE	0.0495886520421691	0.37796487140283	4246	549	0.0404806209347549	33	6413750
20211023 233455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.0849849735815264	0.319760480330302	1022	336	0.0464569503118085	34	6622500
20211023 233548	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	315	TRUE	0.0465037125027552	0.727070892823022	1014	527	0.0403129819620465	35	6888750
20211023 233607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0574375245955959	0.803841766718193	7531	301	0.0451242204787769	36	6421250
20211023 234455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	341	TRUE	0.0289933062436432	0.914142998647527	367	455	0.0411595587742238	37	7112500
20211023 234507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0775838731076382	0.402970562975947	6385	731	0.0370859317374103	38	5870000
20211023 234551	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	0.0345491855871305	0.707065885409084	1984	378	0.0462557835445584	39	6902500
20211023 234617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	0.0926832483600639	0.398507780198264	3202	509	0.0461216723663917	40	6622500
20211023 234837	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	320	TRUE	0.0389983416760899	0.639422746171732	1062	636	0.0462809293904647	41	6948750
20211023 235756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	876	TRUE	0.0361606589905545	0.154521770766121	3700	912	0.0449565815060685	42	7046250
20211023 235826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	367	TRUE	0.0772020599885657	0.216171464156941	5029	768	0.0424503788640783	43	6720000
20211023 235852	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	154	TRUE	0.0574770347673632	0.355708580444171	1078	683	0.0350407362703681	44	6625000
20211023 235927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	390	TRUE	0.0827201820322871	0.445122697189893	6778	906	0.0415451284114531	45	6805000
20211023 235949	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.0614497867436148	0.376586052501737	3570	455	0.0460546167773084	46	6932500
20211024 000010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.051510483745411	0.563124464816041	2977	546	0.0429281499362972	47	6798750
20211024 000109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	585	TRUE	0.0571897158379108	0.164488068650709	5694	655	0.0395753704821297	48	6698750
20211024 000143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	339	TRUE	0.0261860305045731	0.513292195390165	7761	656	0.0463312210822772	49	6591250
20211024 000213	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	359	TRUE	0.048912320607733	0.995964059002022	6650	244	0.046306075236371	50	6795000
20211024 000413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	279	TRUE	0.0267261028291844	0.544028218840365	4986	184	0.0346300207872326	51	6186250
20211024 000430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0609886662657373	0.497974649444339	6412	910	0.0404135653456716	52	6223750
20211024 000450	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	158	TRUE	0.0925959693831392	0.396578101772489	3028	198	0.0357196741098371	53	6373750
20211024 000529	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	458	TRUE	0.0481949858487211	0.421873312736605	6723	536	0.0408326627774425	54	6711250
20211024 001011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	270	TRUE	0.0940431672497466	0.532507430415251	5945	1015	0.0423078857372762	55	6541250
20211024 001402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	173	TRUE	0.068958120415397	0.482023982235603	1379	119	0.0461216723663917	56	7272500
20211024 001419	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	125	TRUE	0.0976996565995924	0.856334283117973	4080	535	0.037639140347348	57	6787500
20211024 001435	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0723469795234688	0.130008793261764	6518	144	0.0420145175350365	58	6385000
20211024 001515	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	521	TRUE	0.0769593343723938	0.202459480938455	4644	217	0.0405728223697445	59	6600000
20211024 001543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	176	TRUE	0.0299708756191842	0.948382064583665	2101	385	0.045425970629652	60	6276250
20211024 001625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	557	TRUE	0.0630811281507835	0.271732241935167	7958	138	0.0504719037081741	61	6723750
20211024 001647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	200	TRUE	0.0978895116117969	0.469711741302046	6729	896	0.0519890364111849	62	6497500
20211024 001722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	358	TRUE	0.0255129659014009	0.451976334698149	5826	179	0.0375637028096292	63	6348750
20211024 001738	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	157	TRUE	0.0602211944327503	0.22254505741389	5277	374	0.0390305438208275	64	6130000
20211024 001800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	152	TRUE	0.0948297502629645	0.784900363077223	2203	145	0.0349485348353785	65	6488750
20211024 001823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	229	TRUE	0.0418801164876111	0.885492029009969	5218	163	0.038561154697244	66	6350000
20211024 001858	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	390	TRUE	0.0387016240178421	0.920547404272342	6484	564	0.043623851673037	67	6645000
20211024 001921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	217	TRUE	0.0425319602072053	0.863257575254748	5544	388	0.039801683095286	68	6465000
20211024 001958	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	484	TRUE	0.0303992116355896	0.165217367060971	7060	648	0.0426012539395159	69	6097500
20211024 002023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	264	TRUE	0.0700494016601518	0.218210928347707	3345	632	0.0420145175350365	70	6735000
20211024 002048	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	247	TRUE	0.0647234458425082	0.799812874208856	5626	144	0.0426096358881513	71	6896250
20211024 002107	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.0382203248930722	0.982837307361607	6530	540	0.0400279957084423	72	5931250
20211024 002123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0404640250547417	0.175879165340634	3566	152	0.0445291021256622	73	5860000
20211024 002149	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0958131605852209	0.33169325672877	780	571	0.039801683095286	74	7115000
20211024 002250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	768	TRUE	0.0217320504062995	0.901632195077906	7441	811	0.0453672969892041	75	6685000
20211024 002307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	130	TRUE	0.0631348979303241	0.792488310616324	4740	122	0.044646449406558	76	6642500
20211024 002324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	136	TRUE	0.0864638146546111	0.642167845299724	4207	1005	0.0471442700999128	77	6920000
20211024 002400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	317	TRUE	0.058037643837817	0.730735204925574	2643	624	0.0385863005431503	78	6796250
20211024 002426	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	291	TRUE	0.0707739179464616	0.77025847955551	7023	154	0.0474292563535171	79	6777500
20211024 002453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	251	TRUE	0.0589699120449461	0.926589186676079	3597	508	0.04738734661034	80	6783750
20211024 002509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0334567148417048	0.853748968570563	6684	599	0.0387707034131295	81	5668750
20211024 002533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	211	TRUE	0.0779374062406458	0.341383242442389	2817	557	0.0522656407161537	82	6806250
20211024 002605	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	0.076169906396009	0.517671355470899	412	906	0.036859619124254	83	6453750
20211024 002626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	251	TRUE	0.082014807680212	0.138259828108992	7400	354	0.0485775833165694	84	6456250
20211024 002701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	412	TRUE	0.0494141431783699	0.187329562072479	4239	284	0.0404135653456716	85	6723750
20211024 002736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	277	TRUE	0.045332897095643	0.858515521227312	2030	782	0.046607825387246	86	6900000
20211024 002756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	183	TRUE	0.0854215697244927	0.486229236009857	7475	132	0.035619090726212	87	6438750
20211024 002812	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0717484384932928	0.333622198364511	4631	1024	0.0349150070408369	88	6243750
20211024 002848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	358	TRUE	0.079758728711661	0.518765215917537	5051	593	0.0412182324146718	89	7003750
20211024 002940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	458	TRUE	0.0388794734793156	0.321540998298954	1553	367	0.0403046000134111	90	6940000
20211024 003021	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	336	TRUE	0.0567442471245304	0.562467300868337	2272	890	0.0423078857372762	91	6791250
20211024 003041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	121	TRUE	0.0456288787491247	0.291893347817403	1581	603	0.0466497351304231	92	6393750
20211024 003109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	291	TRUE	0.0479052742254548	0.876139235755522	5462	830	0.0444536645879434	93	6921250
20211024 003139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0562308587797172	0.865958362022298	1627	315	0.0369434386106082	94	6891250
20211024 003208	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	285	TRUE	0.021576027243454	0.67403223798289	6695	733	0.0433304834707973	95	6238750
20211024 003220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	65	TRUE	0.0875337808310427	0.936169395356765	5433	319	0.0461971099041105	96	6261250
20211024 003302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	278	TRUE	0.0826313996718079	0.211236353384797	712	536	0.0391143633071817	97	7217500
20211024 003340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	415	TRUE	0.0801827503519505	0.429004823934217	6505	688	0.0371613692751291	98	6108750
20211024 003402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	215	TRUE	0.0545240405045822	0.191001194075355	3287	866	0.0404722389861195	99	6465000
20211024 003435	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0.0973339821725711	0.651666032952629	249	530	0.0519555086166432	100	6402500
20211024 003517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	277	TRUE	0.0665022739505209	0.96967455263976	1200	287	0.0325345336283779	101	6498750
20211024 003538	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	197	TRUE	0.0629817241140455	0.957099772378663	7211	317	0.0428527123985784	102	6510000
20211024 003606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	288	TRUE	0.0776025511045195	0.141475633657142	2124	825	0.0413691074901093	103	6581250
20211024 003636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	279	TRUE	0.0549734539842792	0.400730396701023	3254	690	0.0414780728223697	104	6765000
20211024 003722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	286	TRUE	0.0378078753618523	0.74887366734657	1176	859	0.0360800979011601	105	6820000
20211024 003750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	237	TRUE	0.0942775870687328	0.18984167803973	1628	380	0.0508574733454033	106	6416250
20211024 003807	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	0.0861703913859651	0.487265926728072	5324	372	0.047487929993965	107	6718750
20211024 003831	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.0987701020856947	0.860044062109757	1795	771	0.0377313417823376	108	6373750
20211024 003901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	221	TRUE	0.0911506524129398	0.601309782629204	2050	231	0.0499186950982364	109	6706250
20211024 003919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0628350355440751	0.698436879431084	5794	745	0.047689096761215	110	6688750
20211024 003942	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	239	TRUE	0.0914087486459129	0.641604072137037	5203	903	0.0339091732045866	111	6543750
20211024 004007	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	263	TRUE	0.0934494162640348	0.74629264252896	6181	416	0.0417798229732448	112	6620000
20211024 004054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	546	TRUE	0.0352214138266444	0.368428744079219	5585	410	0.0485859652652049	113	6555000
20211024 004123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	352	TRUE	0.0923425149560906	0.253244047491904	4992	773	0.0370943136860457	114	6618750
20211024 004142	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	154	TRUE	0.0809248304814659	0.607217896570638	3629	119	0.0410673573392342	115	6776250
20211024 004207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0605787737569213	0.113999766346021	6913	265	0.0446967410983705	116	6185000
