semilla	subsamping	oficial	meseta	ganancia
205151	1	0	10000	13400000
205151	1	0	10500	13675000
205151	1	0	11000	13700000
205151	1	0	11500	13425000
205151	1	0	12000	13200000
205151	1	0	12500	12875000
205151	1	0	13000	12750000
205151	1	0	13500	12875000
205151	1	0	14000	12600000
205151	1	0	14500	12275000
205151	1	0	15000	12200000
813697	1	1	11005	13493750
813697	1	0	5000	11300000
813697	1	0	5500	11875000
813697	1	0	6000	12250000
813697	1	0	6500	12575000
813697	1	0	7000	12600000
813697	1	0	7500	12825000
813697	1	0	8000	13050000
813697	1	0	8500	13175000
813697	1	0	9000	13250000
813697	1	0	9500	13325000
813697	1	0	10000	13400000
813697	1	0	10500	13175000
813697	1	0	11000	13500000
813697	1	0	11500	13475000
813697	1	0	12000	13450000
813697	1	0	12500	13275000
813697	1	0	13000	13200000
813697	1	0	13500	13125000
813697	1	0	14000	12750000
813697	1	0	14500	12425000
813697	1	0	15000	12050000
344719	1	1	11005	13343750
344719	1	0	5000	11200000
344719	1	0	5500	11675000
344719	1	0	6000	12300000
344719	1	0	6500	12625000
344719	1	0	7000	12750000
344719	1	0	7500	13025000
344719	1	0	8000	13300000
344719	1	0	8500	13375000
344719	1	0	9000	13250000
344719	1	0	9500	13425000
344719	1	0	10000	13350000
344719	1	0	10500	13575000
344719	1	0	11000	13350000
344719	1	0	11500	13525000
344719	1	0	12000	13500000
344719	1	0	12500	13125000
344719	1	0	13000	13050000
344719	1	0	13500	13025000
344719	1	0	14000	12700000
344719	1	0	14500	12375000
344719	1	0	15000	12150000
127217	1	1	11005	12943750
127217	1	0	5000	11400000
127217	1	0	5500	11575000
127217	1	0	6000	12150000
127217	1	0	6500	12475000
127217	1	0	7000	12550000
127217	1	0	7500	12575000
127217	1	0	8000	12600000
127217	1	0	8500	12525000
127217	1	0	9000	12750000
127217	1	0	9500	12775000
127217	1	0	10000	13050000
127217	1	0	10500	13025000
127217	1	0	11000	12950000
127217	1	0	11500	13025000
127217	1	0	12000	13100000
127217	1	0	12500	13025000
127217	1	0	13000	1.3e+07
127217	1	0	13500	12775000
127217	1	0	14000	12600000
127217	1	0	14500	12175000
127217	1	0	15000	12100000
464371	1	1	11005	13043750
464371	1	0	5000	11850000
464371	1	0	5500	11925000
464371	1	0	6000	12500000
464371	1	0	6500	12425000
464371	1	0	7000	12450000
464371	1	0	7500	12575000
464371	1	0	8000	12800000
464371	1	0	8500	12725000
464371	1	0	9000	12800000
464371	1	0	9500	12775000
464371	1	0	10000	12550000
464371	1	0	10500	12925000
464371	1	0	11000	1.3e+07
464371	1	0	11500	13125000
464371	1	0	12000	13250000
464371	1	0	12500	13375000
464371	1	0	13000	13150000
464371	1	0	13500	12975000
464371	1	0	14000	12750000
464371	1	0	14500	12475000
464371	1	0	15000	12400000
645137	1	1	11005	13093750
645137	1	0	5000	11800000
645137	1	0	5500	12025000
645137	1	0	6000	11950000
645137	1	0	6500	11975000
645137	1	0	7000	12300000
645137	1	0	7500	12375000
645137	1	0	8000	12800000
645137	1	0	8500	12575000
645137	1	0	9000	12750000
645137	1	0	9500	12925000
645137	1	0	10000	13300000
645137	1	0	10500	13125000
645137	1	0	11000	13100000
645137	1	0	11500	12975000
645137	1	0	12000	12650000
645137	1	0	12500	12525000
645137	1	0	13000	12650000
645137	1	0	13500	12475000
645137	1	0	14000	12350000
645137	1	0	14500	12275000
645137	1	0	15000	12200000
480803	1	1	11005	13193750
480803	1	0	5000	11350000
480803	1	0	5500	11725000
480803	1	0	6000	12250000
480803	1	0	6500	12625000
480803	1	0	7000	12750000
480803	1	0	7500	12875000
480803	1	0	8000	12950000
480803	1	0	8500	13025000
480803	1	0	9000	1.3e+07
480803	1	0	9500	13175000
480803	1	0	10000	13200000
480803	1	0	10500	13275000
480803	1	0	11000	13200000
480803	1	0	11500	13325000
480803	1	0	12000	13300000
480803	1	0	12500	13275000
480803	1	0	13000	12950000
480803	1	0	13500	12725000
480803	1	0	14000	12650000
480803	1	0	14500	12175000
480803	1	0	15000	11800000
723319	1	1	11005	13493750
723319	1	0	5000	11200000
723319	1	0	5500	11625000
723319	1	0	6000	12250000
723319	1	0	6500	12525000
723319	1	0	7000	12850000
723319	1	0	7500	13125000
723319	1	0	8000	13150000
723319	1	0	8500	13375000
723319	1	0	9000	13300000
723319	1	0	9500	13375000
723319	1	0	10000	13300000
723319	1	0	10500	13475000
723319	1	0	11000	13450000
723319	1	0	11500	13275000
723319	1	0	12000	13100000
723319	1	0	12500	13025000
723319	1	0	13000	12800000
723319	1	0	13500	12725000
723319	1	0	14000	12700000
723319	1	0	14500	12375000
723319	1	0	15000	12250000
314641	1	1	11005	13793750
314641	1	0	5000	11550000
314641	1	0	5500	11775000
314641	1	0	6000	12200000
314641	1	0	6500	12625000
314641	1	0	7000	12850000
314641	1	0	7500	13025000
314641	1	0	8000	13150000
314641	1	0	8500	13175000
314641	1	0	9000	13400000
314641	1	0	9500	13475000
314641	1	0	10000	13900000
314641	1	0	10500	14225000
314641	1	0	11000	13800000
314641	1	0	11500	13475000
314641	1	0	12000	13450000
314641	1	0	12500	13225000
314641	1	0	13000	13100000
314641	1	0	13500	13175000
314641	1	0	14000	13100000
314641	1	0	14500	13025000
314641	1	0	15000	12850000
791599	1	1	11005	13243750
791599	1	0	5000	11350000
791599	1	0	5500	11475000
791599	1	0	6000	11800000
791599	1	0	6500	12375000
791599	1	0	7000	12550000
791599	1	0	7500	12875000
791599	1	0	8000	13200000
791599	1	0	8500	13325000
791599	1	0	9000	13600000
791599	1	0	9500	13575000
791599	1	0	10000	13300000
791599	1	0	10500	13425000
791599	1	0	11000	13250000
791599	1	0	11500	13025000
791599	1	0	12000	13250000
791599	1	0	12500	12925000
791599	1	0	13000	1.3e+07
791599	1	0	13500	12675000
791599	1	0	14000	12550000
791599	1	0	14500	12275000
791599	1	0	15000	11950000
937577	1	1	11005	13043750
937577	1	0	5000	11250000
937577	1	0	5500	11775000
937577	1	0	6000	12100000
937577	1	0	6500	12675000
937577	1	0	7000	12750000
937577	1	0	7500	12875000
937577	1	0	8000	12650000
937577	1	0	8500	12525000
937577	1	0	9000	12450000
937577	1	0	9500	12675000
937577	1	0	10000	12950000
937577	1	0	10500	13325000
937577	1	0	11000	13050000
937577	1	0	11500	13125000
937577	1	0	12000	13050000
937577	1	0	12500	12825000
937577	1	0	13000	12850000
937577	1	0	13500	12725000
937577	1	0	14000	12600000
937577	1	0	14500	12475000
937577	1	0	15000	12100000
685649	1	1	11005	12643750
685649	1	0	5000	10550000
685649	1	0	5500	11275000
685649	1	0	6000	11550000
685649	1	0	6500	11775000
685649	1	0	7000	12050000
685649	1	0	7500	12375000
685649	1	0	8000	12600000
685649	1	0	8500	12325000
685649	1	0	9000	12250000
685649	1	0	9500	12625000
685649	1	0	10000	12600000
685649	1	0	10500	12875000
685649	1	0	11000	12650000
685649	1	0	11500	12575000
685649	1	0	12000	12750000
685649	1	0	12500	12725000
685649	1	0	13000	12450000
685649	1	0	13500	12275000
685649	1	0	14000	12200000
685649	1	0	14500	11875000
685649	1	0	15000	11900000
619363	1	1	11005	13193750
619363	1	0	5000	11250000
619363	1	0	5500	11975000
619363	1	0	6000	12300000
619363	1	0	6500	12625000
619363	1	0	7000	12650000
619363	1	0	7500	12575000
619363	1	0	8000	12550000
619363	1	0	8500	12675000
619363	1	0	9000	12600000
619363	1	0	9500	13075000
619363	1	0	10000	13300000
619363	1	0	10500	13025000
619363	1	0	11000	13150000
619363	1	0	11500	13075000
619363	1	0	12000	12900000
619363	1	0	12500	12725000
619363	1	0	13000	12450000
619363	1	0	13500	12475000
619363	1	0	14000	12300000
619363	1	0	14500	12175000
619363	1	0	15000	12200000
390539	1	1	11005	13243750
390539	1	0	5000	11050000
390539	1	0	5500	11525000
390539	1	0	6000	11950000
390539	1	0	6500	12125000
390539	1	0	7000	12250000
390539	1	0	7500	12325000
390539	1	0	8000	12650000
390539	1	0	8500	13025000
390539	1	0	9000	13200000
390539	1	0	9500	13325000
390539	1	0	10000	13200000
390539	1	0	10500	13425000
390539	1	0	11000	13250000
390539	1	0	11500	13275000
390539	1	0	12000	13100000
390539	1	0	12500	13275000
390539	1	0	13000	13350000
390539	1	0	13500	13175000
390539	1	0	14000	12750000
390539	1	0	14500	12525000
390539	1	0	15000	12200000
465887	1	1	11005	12743750
465887	1	0	5000	10750000
465887	1	0	5500	11625000
465887	1	0	6000	11750000
465887	1	0	6500	11775000
465887	1	0	7000	12250000
465887	1	0	7500	12525000
465887	1	0	8000	12950000
465887	1	0	8500	13275000
465887	1	0	9000	13200000
465887	1	0	9500	13175000
465887	1	0	10000	1.3e+07
465887	1	0	10500	12875000
465887	1	0	11000	12750000
465887	1	0	11500	12675000
465887	1	0	12000	1.3e+07
465887	1	0	12500	12825000
465887	1	0	13000	12600000
465887	1	0	13500	12475000
465887	1	0	14000	12450000
465887	1	0	14500	12075000
465887	1	0	15000	11900000
619657	1	1	11005	13043750
619657	1	0	5000	11350000
619657	1	0	5500	12025000
619657	1	0	6000	12100000
619657	1	0	6500	12425000
619657	1	0	7000	12700000
619657	1	0	7500	12875000
619657	1	0	8000	1.3e+07
619657	1	0	8500	13325000
619657	1	0	9000	13200000
619657	1	0	9500	13475000
619657	1	0	10000	13250000
619657	1	0	10500	13225000
619657	1	0	11000	13050000
619657	1	0	11500	13175000
619657	1	0	12000	13050000
619657	1	0	12500	12975000
619657	1	0	13000	12850000
619657	1	0	13500	12675000
619657	1	0	14000	12400000
619657	1	0	14500	12375000
619657	1	0	15000	12550000
195737	1	1	11005	13493750
195737	1	0	5000	11600000
195737	1	0	5500	11875000
195737	1	0	6000	12150000
195737	1	0	6500	12525000
195737	1	0	7000	12700000
195737	1	0	7500	12975000
195737	1	0	8000	12900000
195737	1	0	8500	13125000
195737	1	0	9000	13200000
195737	1	0	9500	13325000
195737	1	0	10000	13150000
195737	1	0	10500	13125000
195737	1	0	11000	13450000
195737	1	0	11500	13275000
195737	1	0	12000	1.3e+07
195737	1	0	12500	12875000
195737	1	0	13000	12950000
195737	1	0	13500	12925000
195737	1	0	14000	12750000
195737	1	0	14500	12625000
195737	1	0	15000	12350000
542831	1	1	11005	13393750
542831	1	0	5000	10950000
542831	1	0	5500	11375000
542831	1	0	6000	12050000
542831	1	0	6500	12275000
542831	1	0	7000	12750000
542831	1	0	7500	13075000
542831	1	0	8000	13100000
542831	1	0	8500	13525000
542831	1	0	9000	13550000
542831	1	0	9500	13375000
542831	1	0	10000	13750000
542831	1	0	10500	13525000
542831	1	0	11000	13400000
542831	1	0	11500	13375000
542831	1	0	12000	13100000
542831	1	0	12500	12975000
542831	1	0	13000	13150000
542831	1	0	13500	13025000
542831	1	0	14000	12950000
542831	1	0	14500	12675000
542831	1	0	15000	12400000
438499	1	1	11005	13493750
438499	1	0	5000	11100000
438499	1	0	5500	11775000
438499	1	0	6000	12200000
438499	1	0	6500	12425000
438499	1	0	7000	12550000
438499	1	0	7500	12425000
438499	1	0	8000	12800000
438499	1	0	8500	13275000
438499	1	0	9000	13450000
438499	1	0	9500	13825000
438499	1	0	10000	13800000
438499	1	0	10500	13625000
438499	1	0	11000	13500000
438499	1	0	11500	13375000
438499	1	0	12000	1.3e+07
438499	1	0	12500	12725000
438499	1	0	13000	12550000
438499	1	0	13500	12525000
438499	1	0	14000	12400000
438499	1	0	14500	12025000
438499	1	0	15000	11850000
657539	1	1	11005	12843750
657539	1	0	5000	10950000
657539	1	0	5500	11475000
657539	1	0	6000	11800000
657539	1	0	6500	12475000
657539	1	0	7000	12400000
657539	1	0	7500	12275000
657539	1	0	8000	12450000
657539	1	0	8500	12575000
657539	1	0	9000	12700000
657539	1	0	9500	12775000
657539	1	0	10000	12850000
657539	1	0	10500	12775000
657539	1	0	11000	12850000
657539	1	0	11500	12875000
657539	1	0	12000	12850000
657539	1	0	12500	13075000
657539	1	0	13000	12950000
657539	1	0	13500	13225000
657539	1	0	14000	13050000
657539	1	0	14500	12975000
657539	1	0	15000	12550000
408469	1	1	11005	13343750
408469	1	0	5000	10900000
408469	1	0	5500	11475000
408469	1	0	6000	11650000
408469	1	0	6500	11775000
408469	1	0	7000	12200000
408469	1	0	7500	12425000
408469	1	0	8000	12500000
408469	1	0	8500	12575000
408469	1	0	9000	12800000
408469	1	0	9500	12825000
408469	1	0	10000	13400000
408469	1	0	10500	13425000
408469	1	0	11000	13350000
408469	1	0	11500	13275000
408469	1	0	12000	13300000
408469	1	0	12500	13175000
408469	1	0	13000	12950000
408469	1	0	13500	12675000
408469	1	0	14000	12400000
408469	1	0	14500	12175000
408469	1	0	15000	11900000
806999	1	1	11005	13143750
806999	1	0	5000	11300000
806999	1	0	5500	11575000
806999	1	0	6000	11500000
806999	1	0	6500	11675000
806999	1	0	7000	11850000
806999	1	0	7500	12375000
806999	1	0	8000	12850000
806999	1	0	8500	13375000
806999	1	0	9000	13300000
806999	1	0	9500	13525000
806999	1	0	10000	13200000
806999	1	0	10500	13125000
806999	1	0	11000	13150000
806999	1	0	11500	13225000
806999	1	0	12000	13300000
806999	1	0	12500	13375000
806999	1	0	13000	13300000
806999	1	0	13500	13025000
806999	1	0	14000	12700000
806999	1	0	14500	12425000
806999	1	0	15000	12200000
491899	1	1	11005	13193750
491899	1	0	5000	1.2e+07
491899	1	0	5500	12475000
491899	1	0	6000	12800000
491899	1	0	6500	12825000
491899	1	0	7000	12850000
491899	1	0	7500	12775000
491899	1	0	8000	12950000
491899	1	0	8500	12925000
491899	1	0	9000	12850000
491899	1	0	9500	13025000
491899	1	0	10000	13200000
491899	1	0	10500	13175000
491899	1	0	11000	13150000
491899	1	0	11500	13175000
491899	1	0	12000	13100000
491899	1	0	12500	12775000
491899	1	0	13000	12700000
491899	1	0	13500	12575000
491899	1	0	14000	12550000
491899	1	0	14500	12325000
491899	1	0	15000	12200000
787181	1	1	11005	13443750
787181	1	0	5000	10550000
787181	1	0	5500	11375000
787181	1	0	6000	11950000
787181	1	0	6500	12475000
787181	1	0	7000	12600000
787181	1	0	7500	12475000
787181	1	0	8000	12700000
787181	1	0	8500	12975000
787181	1	0	9000	12950000
787181	1	0	9500	13125000
787181	1	0	10000	13300000
787181	1	0	10500	13625000
787181	1	0	11000	13450000
787181	1	0	11500	13475000
787181	1	0	12000	13350000
787181	1	0	12500	13075000
787181	1	0	13000	12700000
787181	1	0	13500	12325000
787181	1	0	14000	12200000
787181	1	0	14500	12025000
787181	1	0	15000	12050000
441841	1	1	11005	12843750
441841	1	0	5000	11150000
441841	1	0	5500	11575000
441841	1	0	6000	11800000
441841	1	0	6500	11875000
441841	1	0	7000	12150000
441841	1	0	7500	12125000
441841	1	0	8000	11950000
441841	1	0	8500	11975000
441841	1	0	9000	11900000
441841	1	0	9500	12175000
441841	1	0	10000	12700000
441841	1	0	10500	12725000
441841	1	0	11000	12850000
441841	1	0	11500	12725000
441841	1	0	12000	12550000
441841	1	0	12500	12325000
441841	1	0	13000	12300000
441841	1	0	13500	12075000
441841	1	0	14000	12100000
441841	1	0	14500	12175000
441841	1	0	15000	11900000
833927	1	1	11005	13343750
833927	1	0	5000	11350000
833927	1	0	5500	11775000
833927	1	0	6000	12100000
833927	1	0	6500	12475000
833927	1	0	7000	12600000
833927	1	0	7500	12975000
833927	1	0	8000	13250000
833927	1	0	8500	13425000
833927	1	0	9000	13200000
833927	1	0	9500	13375000
833927	1	0	10000	13550000
833927	1	0	10500	13325000
833927	1	0	11000	13350000
833927	1	0	11500	13025000
833927	1	0	12000	12900000
833927	1	0	12500	12875000
833927	1	0	13000	12700000
833927	1	0	13500	12775000
833927	1	0	14000	12250000
833927	1	0	14500	12025000
833927	1	0	15000	11700000
745027	1	1	11005	13543750
745027	1	0	5000	11050000
745027	1	0	5500	11975000
745027	1	0	6000	12300000
745027	1	0	6500	12375000
745027	1	0	7000	12800000
745027	1	0	7500	13075000
745027	1	0	8000	13150000
745027	1	0	8500	13225000
745027	1	0	9000	13250000
745027	1	0	9500	13425000
745027	1	0	10000	13500000
745027	1	0	10500	13475000
745027	1	0	11000	13550000
745027	1	0	11500	13475000
745027	1	0	12000	13400000
745027	1	0	12500	13475000
745027	1	0	13000	13150000
745027	1	0	13500	13125000
745027	1	0	14000	12800000
745027	1	0	14500	12575000
745027	1	0	15000	12400000
369007	1	1	11005	13093750
369007	1	0	5000	10800000
369007	1	0	5500	11575000
369007	1	0	6000	11700000
369007	1	0	6500	11975000
369007	1	0	7000	12050000
369007	1	0	7500	12375000
369007	1	0	8000	12550000
369007	1	0	8500	12525000
369007	1	0	9000	12850000
369007	1	0	9500	12775000
369007	1	0	10000	12950000
369007	1	0	10500	13025000
369007	1	0	11000	13100000
369007	1	0	11500	12975000
369007	1	0	12000	12700000
369007	1	0	12500	12575000
369007	1	0	13000	12500000
369007	1	0	13500	12525000
369007	1	0	14000	12400000
369007	1	0	14500	12125000
369007	1	0	15000	11850000
327179	1	1	11005	12693750
327179	1	0	5000	10900000
327179	1	0	5500	11725000
327179	1	0	6000	12100000
327179	1	0	6500	12325000
327179	1	0	7000	12600000
327179	1	0	7500	12975000
327179	1	0	8000	1.3e+07
327179	1	0	8500	12925000
327179	1	0	9000	13100000
327179	1	0	9500	13175000
327179	1	0	10000	12850000
327179	1	0	10500	12775000
327179	1	0	11000	12700000
327179	1	0	11500	12725000
327179	1	0	12000	12750000
327179	1	0	12500	12825000
327179	1	0	13000	12800000
327179	1	0	13500	13025000
327179	1	0	14000	12750000
327179	1	0	14500	12725000
327179	1	0	15000	12650000
351217	1	1	11005	13343750
351217	1	0	5000	11150000
351217	1	0	5500	11675000
351217	1	0	6000	12150000
351217	1	0	6500	12475000
351217	1	0	7000	12800000
351217	1	0	7500	12925000
351217	1	0	8000	12950000
351217	1	0	8500	13025000
351217	1	0	9000	13250000
351217	1	0	9500	13125000
351217	1	0	10000	13200000
351217	1	0	10500	13425000
351217	1	0	11000	13350000
351217	1	0	11500	13475000
351217	1	0	12000	13400000
351217	1	0	12500	13175000
351217	1	0	13000	13050000
351217	1	0	13500	12875000
351217	1	0	14000	12500000
351217	1	0	14500	12375000
351217	1	0	15000	12050000
819407	1	1	11005	13693750
819407	1	0	5000	11200000
819407	1	0	5500	11925000
819407	1	0	6000	12550000
819407	1	0	6500	12375000
819407	1	0	7000	12450000
819407	1	0	7500	12525000
819407	1	0	8000	12650000
819407	1	0	8500	12525000
819407	1	0	9000	13150000
819407	1	0	9500	13525000
819407	1	0	10000	13550000
819407	1	0	10500	13825000
819407	1	0	11000	13650000
819407	1	0	11500	13525000
819407	1	0	12000	13450000
819407	1	0	12500	13075000
819407	1	0	13000	12800000
819407	1	0	13500	12375000
819407	1	0	14000	12500000
819407	1	0	14500	12275000
819407	1	0	15000	11950000
491083	1	1	11005	13293750
491083	1	0	5000	11450000
491083	1	0	5500	11925000
491083	1	0	6000	12150000
491083	1	0	6500	12525000
491083	1	0	7000	12250000
491083	1	0	7500	12625000
491083	1	0	8000	12750000
491083	1	0	8500	12975000
491083	1	0	9000	13300000
491083	1	0	9500	13475000
491083	1	0	10000	13350000
491083	1	0	10500	13275000
491083	1	0	11000	13300000
491083	1	0	11500	13125000
491083	1	0	12000	13500000
491083	1	0	12500	13425000
491083	1	0	13000	1.3e+07
491083	1	0	13500	12725000
491083	1	0	14000	13050000
491083	1	0	14500	12725000
491083	1	0	15000	12550000
837307	1	1	11005	13593750
837307	1	0	5000	10950000
837307	1	0	5500	11425000
837307	1	0	6000	11800000
837307	1	0	6500	12175000
837307	1	0	7000	12400000
837307	1	0	7500	12875000
837307	1	0	8000	12800000
837307	1	0	8500	13175000
837307	1	0	9000	13250000
837307	1	0	9500	13625000
837307	1	0	10000	13650000
837307	1	0	10500	13475000
837307	1	0	11000	13600000
837307	1	0	11500	13575000
837307	1	0	12000	13800000
837307	1	0	12500	13625000
837307	1	0	13000	13750000
837307	1	0	13500	13475000
837307	1	0	14000	13200000
837307	1	0	14500	12975000
837307	1	0	15000	12750000
206477	1	1	11005	13243750
206477	1	0	5000	11500000
206477	1	0	5500	12025000
206477	1	0	6000	12150000
206477	1	0	6500	12475000
206477	1	0	7000	12700000
206477	1	0	7500	12525000
206477	1	0	8000	12650000
206477	1	0	8500	12875000
206477	1	0	9000	13200000
206477	1	0	9500	13575000
206477	1	0	10000	13350000
206477	1	0	10500	13175000
206477	1	0	11000	13250000
206477	1	0	11500	13175000
206477	1	0	12000	12900000
206477	1	0	12500	12625000
206477	1	0	13000	12600000
206477	1	0	13500	12775000
206477	1	0	14000	12500000
206477	1	0	14500	12125000
206477	1	0	15000	11950000
439861	1	1	11005	14443750
439861	1	0	5000	11050000
439861	1	0	5500	11725000
439861	1	0	6000	12050000
439861	1	0	6500	12425000
439861	1	0	7000	12950000
439861	1	0	7500	13125000
439861	1	0	8000	1.3e+07
439861	1	0	8500	12875000
439861	1	0	9000	13250000
439861	1	0	9500	13725000
439861	1	0	10000	14100000
439861	1	0	10500	14225000
439861	1	0	11000	14450000
439861	1	0	11500	14075000
439861	1	0	12000	13850000
439861	1	0	12500	13525000
439861	1	0	13000	13450000
439861	1	0	13500	13375000
439861	1	0	14000	12950000
439861	1	0	14500	12975000
439861	1	0	15000	12750000
182899	1	1	11005	13043750
182899	1	0	5000	11150000
182899	1	0	5500	11375000
182899	1	0	6000	11450000
182899	1	0	6500	11575000
182899	1	0	7000	11950000
182899	1	0	7500	12225000
182899	1	0	8000	12250000
182899	1	0	8500	12375000
182899	1	0	9000	12650000
182899	1	0	9500	12575000
182899	1	0	10000	12850000
182899	1	0	10500	13125000
182899	1	0	11000	13050000
182899	1	0	11500	12925000
182899	1	0	12000	12950000
182899	1	0	12500	12775000
182899	1	0	13000	12650000
182899	1	0	13500	12525000
182899	1	0	14000	12300000
182899	1	0	14500	12025000
182899	1	0	15000	11650000
833873	1	1	11005	13493750
833873	1	0	5000	11100000
833873	1	0	5500	11375000
833873	1	0	6000	12150000
833873	1	0	6500	12375000
833873	1	0	7000	12650000
833873	1	0	7500	12825000
833873	1	0	8000	1.3e+07
833873	1	0	8500	13075000
833873	1	0	9000	13150000
833873	1	0	9500	13275000
833873	1	0	10000	13500000
833873	1	0	10500	13575000
833873	1	0	11000	13450000
833873	1	0	11500	13425000
833873	1	0	12000	13450000
833873	1	0	12500	13475000
833873	1	0	13000	13350000
833873	1	0	13500	12875000
833873	1	0	14000	12700000
833873	1	0	14500	12325000
833873	1	0	15000	12100000
824933	1	1	11005	13243750
824933	1	0	5000	11650000
824933	1	0	5500	11925000
824933	1	0	6000	11900000
824933	1	0	6500	12125000
824933	1	0	7000	12350000
824933	1	0	7500	12675000
824933	1	0	8000	12800000
824933	1	0	8500	12925000
824933	1	0	9000	13200000
824933	1	0	9500	13425000
824933	1	0	10000	13450000
824933	1	0	10500	13325000
824933	1	0	11000	13200000
824933	1	0	11500	13175000
824933	1	0	12000	13350000
824933	1	0	12500	13075000
824933	1	0	13000	12850000
824933	1	0	13500	12575000
824933	1	0	14000	12500000
824933	1	0	14500	12275000
824933	1	0	15000	1.2e+07
641747	1	1	11005	13243750
641747	1	0	5000	11100000
641747	1	0	5500	11625000
641747	1	0	6000	11900000
641747	1	0	6500	12125000
641747	1	0	7000	12400000
641747	1	0	7500	12725000
641747	1	0	8000	12600000
641747	1	0	8500	12975000
641747	1	0	9000	12950000
641747	1	0	9500	13075000
641747	1	0	10000	13300000
641747	1	0	10500	13525000
641747	1	0	11000	13250000
641747	1	0	11500	13175000
641747	1	0	12000	12950000
641747	1	0	12500	13025000
641747	1	0	13000	13150000
641747	1	0	13500	13125000
641747	1	0	14000	12850000
641747	1	0	14500	12475000
641747	1	0	15000	12250000
857083	1	1	11005	12493750
857083	1	0	5000	10050000
857083	1	0	5500	10325000
857083	1	0	6000	1.1e+07
857083	1	0	6500	11625000
857083	1	0	7000	11950000
857083	1	0	7500	11975000
857083	1	0	8000	12250000
857083	1	0	8500	12475000
857083	1	0	9000	12300000
857083	1	0	9500	12525000
857083	1	0	10000	12850000
857083	1	0	10500	12675000
857083	1	0	11000	12500000
857083	1	0	11500	12175000
857083	1	0	12000	12400000
857083	1	0	12500	12425000
857083	1	0	13000	12400000
857083	1	0	13500	12575000
857083	1	0	14000	12450000
857083	1	0	14500	12175000
857083	1	0	15000	1.2e+07
973657	1	1	11005	12493750
973657	1	0	5000	10450000
973657	1	0	5500	10825000
973657	1	0	6000	10950000
973657	1	0	6500	11525000
973657	1	0	7000	11850000
973657	1	0	7500	11925000
973657	1	0	8000	12200000
973657	1	0	8500	12275000
973657	1	0	9000	12250000
973657	1	0	9500	11975000
973657	1	0	10000	12650000
973657	1	0	10500	12475000
973657	1	0	11000	12450000
973657	1	0	11500	12675000
973657	1	0	12000	12450000
973657	1	0	12500	12325000
973657	1	0	13000	12150000
973657	1	0	13500	11825000
973657	1	0	14000	11850000
973657	1	0	14500	11925000
973657	1	0	15000	11600000
115223	1	1	11005	11993750
115223	1	0	5000	10450000
